kind,ref_idx,depth,objectRad,dist,center_frame,snr,duration,RickerDetector@MeanSubtract|T1|peak,RickerDetector@MeanSubtract|T1|frame,RickerDetector@MeanSubtract|joint|peak,RickerDetector@MeanSubtract|joint|frame,RickerDetector@MedianDivide|T1|peak,RickerDetector@MedianDivide|T1|frame,RickerDetector@MedianDivide|joint|peak,RickerDetector@MedianDivide|joint|frame,RickerDetector@HighPass|T1|peak,RickerDetector@HighPass|T1|frame,RickerDetector@HighPass|joint|peak,RickerDetector@HighPass|joint|frame,RickerDetector@Bandpass|T1|peak,RickerDetector@Bandpass|T1|frame,RickerDetector@Bandpass|joint|peak,RickerDetector@Bandpass|joint|frame,RickerDetector@Whiten|T1|peak,RickerDetector@Whiten|T1|frame,RickerDetector@Whiten|joint|peak,RickerDetector@Whiten|joint|frame,BoxDetector@MeanSubtract|T1|peak,BoxDetector@MeanSubtract|T1|frame,BoxDetector@MeanSubtract|joint|peak,BoxDetector@MeanSubtract|joint|frame,BoxDetector@MedianDivide|T1|peak,BoxDetector@MedianDivide|T1|frame,BoxDetector@MedianDivide|joint|peak,BoxDetector@MedianDivide|joint|frame,BoxDetector@HighPass|T1|peak,BoxDetector@HighPass|T1|frame,BoxDetector@HighPass|joint|peak,BoxDetector@HighPass|joint|frame,BoxDetector@Bandpass|T1|peak,BoxDetector@Bandpass|T1|frame,BoxDetector@Bandpass|joint|peak,BoxDetector@Bandpass|joint|frame,BoxDetector@Whiten|T1|peak,BoxDetector@Whiten|T1|frame,BoxDetector@Whiten|joint|peak,BoxDetector@Whiten|joint|frame,MultiWidthRickerDetector@MeanSubtract|T1|peak,MultiWidthRickerDetector@MeanSubtract|T1|frame,MultiWidthRickerDetector@MeanSubtract|joint|peak,MultiWidthRickerDetector@MeanSubtract|joint|frame,MultiWidthRickerDetector@MedianDivide|T1|peak,MultiWidthRickerDetector@MedianDivide|T1|frame,MultiWidthRickerDetector@MedianDivide|joint|peak,MultiWidthRickerDetector@MedianDivide|joint|frame,MultiWidthRickerDetector@HighPass|T1|peak,MultiWidthRickerDetector@HighPass|T1|frame,MultiWidthRickerDetector@HighPass|joint|peak,MultiWidthRickerDetector@HighPass|joint|frame,MultiWidthRickerDetector@Bandpass|T1|peak,MultiWidthRickerDetector@Bandpass|T1|frame,MultiWidthRickerDetector@Bandpass|joint|peak,MultiWidthRickerDetector@Bandpass|joint|frame,MultiWidthRickerDetector@Whiten|T1|peak,MultiWidthRickerDetector@Whiten|T1|frame,MultiWidthRickerDetector@Whiten|joint|peak,MultiWidthRickerDetector@Whiten|joint|frame,FresnelMatchedFilterDetector@MeanSubtract|T1|peak,FresnelMatchedFilterDetector@MeanSubtract|T1|frame,FresnelMatchedFilterDetector@MeanSubtract|joint|peak,FresnelMatchedFilterDetector@MeanSubtract|joint|frame,FresnelMatchedFilterDetector@MedianDivide|T1|peak,FresnelMatchedFilterDetector@MedianDivide|T1|frame,FresnelMatchedFilterDetector@MedianDivide|joint|peak,FresnelMatchedFilterDetector@MedianDivide|joint|frame,FresnelMatchedFilterDetector@HighPass|T1|peak,FresnelMatchedFilterDetector@HighPass|T1|frame,FresnelMatchedFilterDetector@HighPass|joint|peak,FresnelMatchedFilterDetector@HighPass|joint|frame,FresnelMatchedFilterDetector@Bandpass|T1|peak,FresnelMatchedFilterDetector@Bandpass|T1|frame,FresnelMatchedFilterDetector@Bandpass|joint|peak,FresnelMatchedFilterDetector@Bandpass|joint|frame,FresnelMatchedFilterDetector@Whiten|T1|peak,FresnelMatchedFilterDetector@Whiten|T1|frame,FresnelMatchedFilterDetector@Whiten|joint|peak,FresnelMatchedFilterDetector@Whiten|joint|frame,NormalizedSNRDetector@MeanSubtract|T1|peak,NormalizedSNRDetector@MeanSubtract|T1|frame,NormalizedSNRDetector@MeanSubtract|joint|peak,NormalizedSNRDetector@MeanSubtract|joint|frame,NormalizedSNRDetector@MedianDivide|T1|peak,NormalizedSNRDetector@MedianDivide|T1|frame,NormalizedSNRDetector@MedianDivide|joint|peak,NormalizedSNRDetector@MedianDivide|joint|frame,NormalizedSNRDetector@HighPass|T1|peak,NormalizedSNRDetector@HighPass|T1|frame,NormalizedSNRDetector@HighPass|joint|peak,NormalizedSNRDetector@HighPass|joint|frame,NormalizedSNRDetector@Bandpass|T1|peak,NormalizedSNRDetector@Bandpass|T1|frame,NormalizedSNRDetector@Bandpass|joint|peak,NormalizedSNRDetector@Bandpass|joint|frame,NormalizedSNRDetector@Whiten|T1|peak,NormalizedSNRDetector@Whiten|T1|frame,NormalizedSNRDetector@Whiten|joint|peak,NormalizedSNRDetector@Whiten|joint|frame
inject,802,0.19833683129206148,1840.6243352911742,32.04107882740298,1565,1.0228369880080104,33.0,4.526558174216908,13,4.526558174216908,13,4.340638650559622,13,4.340638650559622,13,5.314871527053884,13,5.314871527053884,13,4.299827109288917,816,4.299827109288917,816,0.48542695980339245,2364,0.48542695980339245,2364,3.964719861057587,123,3.964719861057587,123,4.815348646733037,789,4.815348646733037,789,4.509765688118084,14,4.509765688118084,14,4.61722227903397,123,4.61722227903397,123,0.44601493894219724,117,0.44601493894219724,117,4.526558174216908,13,4.526558174216908,13,5.111681415322349,902,5.111681415322349,902,5.314871527053884,13,5.314871527053884,13,5.303176068793341,902,5.303176068793341,902,0.5338523491841883,886,0.5338523491841883,886,4.484150388897541,902,4.484150388897541,902,5.173664605446212,664,5.173664605446212,664,4.784589972785038,13,4.784589972785038,13,5.533484425323281,902,5.533484425323281,902,0.5214100884784033,870,0.5214100884784033,870,3.6317452606024516,1974,3.6317452606024516,1974,4.566033660641228,791,4.566033660641228,791,3.471252942386696,791,3.471252942386696,791,2.9722159905279195,901,2.9722159905279195,901,0.44572116583598503,1974,0.44572116583598503,1974
inject,1060,0.10672576096085118,1961.294274284116,41.73824812452511,491,6.740149154054368,32.0,4.904409371894619,1755,4.904409371894619,1755,4.755071812758221,1755,4.755071812758221,1755,5.043495139953598,1755,5.043495139953598,1755,4.4825063538582945,1755,4.4825063538582945,1755,0.46361827129807476,1707,0.46361827129807476,1707,5.115614698404303,1757,5.115614698404303,1757,5.0673464856175086,1757,5.0673464856175086,1757,4.48898651719194,1757,4.48898651719194,1757,4.010324036233647,1757,4.010324036233647,1757,0.4302704733570856,1751,0.4302704733570856,1751,5.480418559563353,295,5.480418559563353,295,5.311357468356233,295,5.311357468356233,295,5.065237103821398,1754,5.065237103821398,1754,4.66329755742839,1756,4.66329755742839,1756,0.4742987378269662,200,0.4742987378269662,200,5.531922917041402,1755,5.531922917041402,1755,5.49242049512632,1755,5.49242049512632,1755,4.648657525037069,1755,4.648657525037069,1755,4.461551158839897,6,4.461551158839897,6,0.4921043652967963,1725,0.4921043652967963,1725,3.2027094074444546,1700,3.2027094074444546,1700,3.1534215142777513,1700,3.1534215142777513,1700,3.6172030752755653,1700,3.6172030752755653,1700,3.390494376627929,337,3.390494376627929,337,0.4272283937621412,1700,0.4272283937621412,1700
inject,948,0.25125487494438914,518.3248064474569,42.43708838757165,695,1.6863325343609477,32.0,3.2904430064507073,1804,3.2904430064507073,1804,3.701426927053907,1804,3.701426927053907,1804,3.48362844300033,360,3.48362844300033,360,3.354734230726274,360,3.354734230726274,360,0.38220910210401704,1756,0.38220910210401704,1756,3.411919731234838,1185,3.411919731234838,1185,3.7418807148657027,647,3.7418807148657027,647,2.993108544201788,1608,2.993108544201788,1608,3.545943035970082,1608,3.545943035970082,1608,0.33958175085396214,641,0.33958175085396214,641,3.9570074695137056,1608,3.9570074695137056,1608,3.701426927053907,1804,3.701426927053907,1804,4.033175391072151,1608,4.033175391072151,1608,4.702943579824359,1608,4.702943579824359,1608,0.4389499238823447,874,0.4389499238823447,874,4.077782614982559,784,4.077782614982559,784,4.491627094251325,782,4.491627094251325,782,3.9129214077822567,1663,3.9129214077822567,1663,4.407925814712905,1663,4.407925814712905,1663,0.44831276406647974,2335,0.44831276406647974,2335,2.8942277921322557,882,2.8942277921322557,882,3.181135407747466,915,3.181135407747466,915,2.891372611246086,2208,2.891372611246086,2208,2.932665380316692,2361,2.932665380316692,2361,0.44874735062702054,882,0.44874735062702054,882
inject,10,0.14092808811690294,703.4969141749727,31.59998486539248,581,5.998243914302489,33.0,6.40470925669028,672,6.40470925669028,672,7.342977003866625,2266,7.342977003866625,2266,6.846130468011355,672,6.846130468011355,672,6.263050848135572,671,6.263050848135572,671,0.5254247297093285,2218,0.5254247297093285,2218,5.516861893786227,673,5.516861893786227,673,6.996543275907545,2389,6.996543275907545,2389,5.147590946265993,673,5.147590946265993,673,4.70714386346793,1908,4.70714386346793,1908,0.48895127577503456,2263,0.48895127577503456,2263,6.721739545496301,2265,6.721739545496301,2265,8.216320646194676,2265,8.216320646194676,2265,6.846130468011355,672,6.846130468011355,672,6.263050848135572,671,6.263050848135572,671,0.5811770146963597,2201,0.5811770146963597,2201,6.0694009487450495,672,6.0694009487450495,672,7.6319098538416865,2265,7.6319098538416865,2265,5.522678900090824,673,5.522678900090824,673,5.953553701236191,1908,5.953553701236191,1908,0.5957926303872133,1285,0.5957926303872133,1285,4.202940971699503,673,4.202940971699503,673,5.146022434153732,2267,5.146022434153732,2267,4.144939234687945,673,4.144939234687945,673,3.6746367322200935,673,3.6746367322200935,673,0.4727206698415817,1429,0.4727206698415817,1429
inject,952,0.11248793535390644,1493.5342285826166,38.70778942190123,721,7.453768698270713,32.0,4.996835640934779,852,4.996835640934779,852,5.782104905128275,852,5.782104905128275,852,5.088404732743669,594,5.088404732743669,594,5.627478351062835,2395,5.627478351062835,2395,0.5107919665223971,545,0.5107919665223971,545,5.163394467439944,803,5.163394467439944,803,6.0499481118719745,803,6.0499481118719745,803,5.415437744910407,85,5.415437744910407,85,6.838977151375991,2395,6.838977151375991,2395,0.5643507016336162,79,0.5643507016336162,79,5.681823872704135,86,5.681823872704135,86,6.414659033881646,853,6.414659033881646,853,5.76965150625613,594,5.76965150625613,594,6.548498491104888,86,6.548498491104888,86,0.6722634431948038,891,0.6722634431948038,891,5.730161299307488,594,5.730161299307488,594,6.5766386693012295,802,6.5766386693012295,802,5.882232787647081,86,5.882232787647081,86,7.134687105821721,2395,7.134687105821721,2395,0.6181734290350369,55,0.6181734290350369,55,5.506993939294797,87,5.506993939294797,87,6.053898517825069,801,6.053898517825069,801,5.670604985110783,87,5.670604985110783,87,5.828495326300579,2396,5.828495326300579,2396,0.6485706208120192,899,0.6485706208120192,899
inject,400,0.21317899787147565,1658.1131129382222,42.457468860503624,696,4.635408566977934,32.0,5.062757128196221,1703,5.062757128196221,1703,5.262332569449829,1703,5.262332569449829,1703,5.607667254517089,1703,5.607667254517089,1703,5.468733706786353,1703,5.468733706786353,1703,0.41122159360361393,1655,0.41122159360361393,1655,4.234969642490852,1703,4.234969642490852,1703,4.450788794498821,2247,4.450788794498821,2247,4.355530689325165,1703,4.355530689325165,1703,4.474651128551018,1704,4.474651128551018,1704,0.38529850436747254,2241,0.38529850436747254,2241,5.118393390677931,1703,5.118393390677931,1703,5.321777864652966,1703,5.321777864652966,1703,5.607667254517089,1703,5.607667254517089,1703,5.647160766287539,1703,5.647160766287539,1703,0.42944944503802146,1730,0.42944944503802146,1730,4.434653568053872,1703,4.434653568053872,1703,4.729458533672754,2314,4.729458533672754,2314,4.582122804968428,1704,4.582122804968428,1704,4.653882763212455,1704,4.653882763212455,1704,0.47434793037906264,1148,0.47434793037906264,1148,3.060224151422494,637,3.060224151422494,637,3.3044828271173454,2045,3.3044828271173454,2045,2.9940006193264384,637,2.9940006193264384,637,2.959986786927399,1000,2.959986786927399,1000,0.4531483154719781,637,0.4531483154719781,637
inject,574,0.18190219360781967,1468.5022292442027,31.426684451697273,1202,1.2823945051821317,33.0,4.792300989180177,1201,4.792300989180177,1201,4.36154387839636,1820,4.36154387839636,1820,5.072340261251622,1201,5.072340261251622,1201,4.648728711621173,1201,4.648728711621173,1201,0.43130538161001786,1153,0.43130538161001786,1153,3.994892095760162,1203,3.994892095760162,1203,4.428658852709965,724,4.428658852709965,724,3.921486716117316,1203,3.921486716117316,1203,3.6011986707304526,1203,3.6011986707304526,1203,0.3586163417077807,1771,0.3586163417077807,1771,4.792300989180177,1201,4.792300989180177,1201,4.4996081338908445,723,4.4996081338908445,723,5.072340261251622,1201,5.072340261251622,1201,4.852637095761539,1202,4.852637095761539,1202,0.4448313322582581,2162,0.4448313322582581,2162,4.477346598105286,1202,4.477346598105286,1202,5.401975642626486,1830,5.401975642626486,1830,4.370337191119122,1203,4.370337191119122,1203,4.635046984583896,242,4.635046984583896,242,0.4359468748620783,2260,0.4359468748620783,2260,2.93615041551404,771,2.93615041551404,771,3.5496693211063937,771,3.5496693211063937,771,2.937796279407996,2313,2.937796279407996,2313,3.156815500681779,1179,3.156815500681779,1179,0.36927457239142336,1243,0.36927457239142336,1243
inject,310,0.06900151278015121,690.4036799843963,42.644096332181945,606,3.5488504236974525,32.0,4.857549394030624,1005,4.857549394030624,1005,5.125794166653274,1005,5.125794166653274,1005,5.269801148319593,218,5.269801148319593,218,4.919702925683243,1005,4.919702925683243,1005,0.49201079986278007,956,0.49201079986278007,956,4.739250007554942,1005,4.739250007554942,1005,5.1971372708629335,1005,5.1971372708629335,1005,4.7576354389052575,218,4.7576354389052575,218,4.64176004480493,218,4.64176004480493,218,0.493726605516689,999,0.493726605516689,999,4.9028960411618625,219,4.9028960411618625,219,5.125794166653274,1005,5.125794166653274,1005,5.484976286251707,219,5.484976286251707,219,4.919702925683243,1005,4.919702925683243,1005,0.49201079986278007,956,0.49201079986278007,956,5.231811402530697,2003,5.231811402530697,2003,5.639246446061514,2003,5.639246446061514,2003,4.932683910002607,218,4.932683910002607,218,4.879306352859837,1192,4.879306352859837,1192,0.5326298274203306,2215,0.5326298274203306,2215,3.6064032891412103,219,3.6064032891412103,219,3.635453064198668,219,3.635453064198668,219,3.8967760864248935,219,3.8967760864248935,219,3.339074897870008,1191,3.339074897870008,1191,0.47488041300209,219,0.47488041300209,219
inject,1218,0.23493513895819584,832.3464847832416,35.05383526477483,655,1.2175541977150952,33.0,4.13126728705167,2306,4.13126728705167,2306,3.5027385443650982,1007,3.5027385443650982,1007,4.351579722103937,2306,4.351579722103937,2306,4.278208589756444,2306,4.278208589756444,2306,0.43797424994560186,2258,0.43797424994560186,2258,3.397790525861604,116,3.397790525861604,116,3.5480227991534443,116,3.5480227991534443,116,3.5934344617950402,116,3.5934344617950402,116,3.6416394272510493,269,3.6416394272510493,269,0.3840836571392827,110,0.3840836571392827,110,4.13126728705167,2306,4.13126728705167,2306,3.7906056210489485,590,3.7906056210489485,590,4.351579722103937,2306,4.351579722103937,2306,4.361858784026669,216,4.361858784026669,216,0.47942897637135157,582,0.47942897637135157,582,4.081518736787249,2317,4.081518736787249,2317,4.242968672666414,241,4.242968672666414,241,3.9459281862651197,216,3.9459281862651197,216,4.791679510898003,216,4.791679510898003,216,0.48620581583862316,184,0.48620581583862316,184,3.1516569860067865,30,3.1516569860067865,30,3.502018159119458,590,3.502018159119458,590,3.1072931091343268,30,3.1072931091343268,30,2.7926755057457817,590,2.7926755057457817,590,0.47835914273023983,30,0.47835914273023983,30
inject,336,0.13631034207533776,1176.3988168806206,38.55103652107119,1701,7.412745520418826,32.0,4.318870221584075,1700,4.318870221584075,1700,4.2682987934965615,2034,4.2682987934965615,2034,4.827702383061829,1701,4.827702383061829,1701,4.974888626214181,1700,4.974888626214181,1700,0.4340515436026222,1652,0.4340515436026222,1652,3.9274214478735305,2033,3.9274214478735305,2033,4.107710291707316,2033,4.107710291707316,2033,4.074063351529881,1701,4.074063351529881,1701,4.1282667512902735,2132,4.1282667512902735,2132,0.3960754533542514,2096,0.3960754533542514,2096,4.70445600293901,1700,4.70445600293901,1700,4.403641264611334,2034,4.403641264611334,2034,5.167411746313021,1700,5.167411746313021,1700,5.433382465628376,1700,5.433382465628376,1700,0.4932617754791688,1632,0.4932617754791688,1632,5.426055536104711,2035,5.426055536104711,2035,5.64905082360255,2035,5.64905082360255,2035,4.172974316541316,1701,4.172974316541316,1701,4.786089833935682,2132,4.786089833935682,2132,0.5447738881319212,697,0.5447738881319212,697,3.626272632792093,1640,3.626272632792093,1640,3.453039810049285,1640,3.453039810049285,1640,3.665462254945291,611,3.665462254945291,611,4.176869284147164,2130,4.176869284147164,2130,0.5010169203724356,1640,0.5010169203724356,1640
