kind,ref_idx,depth,objectRad,dist,center_frame,snr,duration,RickerDetector|T1|peak,RickerDetector|T1|frame,RickerDetector|T2|peak,RickerDetector|T2|frame,RickerDetector|T3|peak,RickerDetector|T3|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|T1|peak,BoxDetector|T1|frame,BoxDetector|T2|peak,BoxDetector|T2|frame,BoxDetector|T3|peak,BoxDetector|T3|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|T1|peak,MultiWidthRickerDetector|T1|frame,MultiWidthRickerDetector|T2|peak,MultiWidthRickerDetector|T2|frame,MultiWidthRickerDetector|T3|peak,MultiWidthRickerDetector|T3|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,MultiWidthBoxDetector|T1|peak,MultiWidthBoxDetector|T1|frame,MultiWidthBoxDetector|T2|peak,MultiWidthBoxDetector|T2|frame,MultiWidthBoxDetector|T3|peak,MultiWidthBoxDetector|T3|frame,MultiWidthBoxDetector|joint|peak,MultiWidthBoxDetector|joint|frame,FresnelMatchedFilterDetector|T1|peak,FresnelMatchedFilterDetector|T1|frame,FresnelMatchedFilterDetector|T2|peak,FresnelMatchedFilterDetector|T2|frame,FresnelMatchedFilterDetector|T3|peak,FresnelMatchedFilterDetector|T3|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|T1|peak,NormalizedSNRDetector|T1|frame,NormalizedSNRDetector|T2|peak,NormalizedSNRDetector|T2|frame,NormalizedSNRDetector|T3|peak,NormalizedSNRDetector|T3|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
inject,1088,0.115778478405268,720.1494585475828,32.11869835351548,1884,4.427348915997852,33.0,4.2816081274516025,617,2.8377641671780744,2285,3.336150676909617,363,4.491642552167454,617,4.471562800107007,617,3.5137770119580596,2364,3.892517922856751,2123,4.127923094199736,616,4.491823523132242,1206,3.984378050879469,1884,4.431280324634501,2119,5.811873966294934,617,4.95318638989958,617,3.616594775711494,1730,4.490780562408884,2124,5.517990025889835,617,5.050558878042208,617,4.717463547020749,2328,4.610127333715257,1435,6.079838688953639,166,3.5544569055542823,617,2.949721821131517,1313,3.4808116642612883,2121,3.668133798129898,2102
inject,872,0.13021094194276306,624.8874648821272,44.632994676402305,1351,4.139138722125302,32.0,4.487969515114832,1674,4.229729416514839,1392,3.3573796744967224,1137,4.856733330845579,1985,4.783554670532226,1985,3.285991829963298,1757,3.37121214876907,442,5.194242374018395,1986,4.922921970793694,1989,4.229729416514839,1392,4.181122778881772,441,5.8946313140712725,1987,5.5120615107554585,1990,3.799877987071256,1182,3.564521157726716,375,5.98929427719055,1987,5.593064955872604,1989,4.718598427658609,2125,4.575372452712063,600,6.41472144930366,1987,3.2449896682892536,1983,3.1293058647431056,881,3.1349698946538505,1615,3.8572096795870703,1986
inject,1066,0.046379325586385245,693.3333735130674,39.761495021450976,832,6.680056186423595,32.0,6.417108368738534,1334,5.866478871251152,162,6.520829593373717,2115,5.577728843999501,2087,6.861458709552811,1334,5.748041384050075,892,6.2619068129846305,2116,5.770510242970182,2089,6.417108368738534,1334,5.937241377749643,1755,7.0691271324177185,1770,6.712013393635451,1624,6.861458709552811,1334,5.992098935594414,733,7.63413534030153,1770,7.255165014159975,1769,6.938832908375185,1333,6.30836281560389,892,7.7767368961522685,1769,8.034757330817797,1769,4.40918039196124,755,4.276660936972297,732,3.8742768428494263,1624,3.5963661888756824,709
inject,732,0.2914499935910103,1629.537802743597,34.075785035297386,596,6.250812202351249,33.0,4.508867209673814,2072,4.299133685343953,597,3.9433105702933107,597,6.5240786823836805,596,5.643082264318621,2071,4.460450652143693,1208,5.29372313249699,596,7.232429037881228,597,4.705248268546157,2070,5.020939338245815,597,5.933563765074,598,7.981868945407626,597,5.780376854181386,2072,4.880483847064493,501,5.980224043115455,597,7.933904493240455,597,6.273900113313884,2070,5.250771569756855,598,5.959987790330554,597,8.643550222938815,597,3.4837236975799972,1568,3.462212175243431,500,3.508252009678418,1523,4.147735974374537,596
inject,656,0.13449877797673127,711.5604836461544,42.0598773158852,426,5.202727771871391,32.0,3.5021186136806115,1737,3.4707328407194304,156,3.7891876274552447,1811,4.467514386326899,1431,3.437578628095567,1850,3.6013689656892964,157,3.757304084015025,1724,4.217291553431841,157,4.9554525753836,1370,4.437977786570631,156,4.2634245787025,2184,5.768811517996269,156,3.8765317996644457,58,4.21637820404126,712,4.293486971308427,1723,4.7957612821859374,900,6.494233787206016,131,5.056895604890128,1065,4.540458929087666,1724,6.683161083201089,504,3.457872927435424,1103,3.5184125976737715,715,3.826466005680523,1726,3.5287123568531333,179
inject,254,0.2944297231504267,975.2107956220726,42.982126141076066,1827,5.695768214008827,32.0,4.940919509303674,2354,4.609158248813321,2352,5.200152548913608,345,5.87815434208972,2354,4.209914142619814,2103,4.180866210605717,1570,4.667007071701369,1023,4.3848121710613865,1825,5.3209658176803165,2104,4.862164507348283,2352,5.992344001191481,2217,6.661524383243512,2354,4.68181061083467,2104,4.732961869578657,1570,5.751465699400103,2182,5.684274552301175,1821,6.816620253544477,1247,5.246511885012407,2355,6.006249076902976,2217,7.293533012171991,656,2.9546147299512597,273,3.9745631579848753,1986,2.828740553780459,1459,3.4213407689382893,668
inject,32,0.1534071069838122,1615.7526130799044,42.79309740426332,1338,0.9136714721714275,32.0,4.4937065460299745,1443,3.731010235851602,1665,3.9539596708544527,509,3.7250412604429584,1252,4.281460556319231,2046,4.5231366455742705,2181,4.448761511364091,937,4.589837755557122,937,4.4937065460299745,1443,4.320202220431243,602,4.223309185535789,510,5.6033728165564805,1398,4.281460556319231,2046,4.670044753979874,2175,4.448761511364091,937,5.595547083830631,389,4.862916834201537,1509,4.848707153034214,185,5.1795520328826425,830,6.954693069847557,1777,3.105518240038053,2056,2.8647685181340226,2341,2.971447671477528,2297,3.4538179174339256,600
inject,1274,0.05519240547566617,394.28595813672734,34.80422885264679,1091,4.167080522303726,33.0,4.6748023963176815,1298,3.928190556676373,1355,3.8454583766871915,1629,3.5764898653001245,1330,4.794669824816777,1300,4.192707344884591,718,4.078892957720534,1567,3.9465581577001023,731,4.8041494948082635,1298,4.202546045203981,1771,5.105239148397049,1628,5.203242991285089,1630,4.98484830054763,1298,5.934040394607463,725,5.341413623357178,1556,6.111561411213181,727,5.135585664683096,1298,5.916960073954646,725,5.489977114509105,1556,6.669784863215024,726,3.4916503913138044,899,3.406476232422722,1991,3.2308804952277277,923,3.1870862145513925,1619
inject,1250,0.022133919083003772,1973.8454603044088,39.03961449652039,2057,1.8877378883722835,32.0,3.6346200792852565,2214,3.611985627511408,1546,5.583538013044938,913,4.528899216593318,914,3.696946322200811,2036,4.463068710915769,1545,4.218914191475705,2030,3.6264603635467116,1689,3.6583746757332425,2215,3.9958281706195167,1129,5.583538013044938,913,6.27898116438772,912,3.843458389913347,449,4.929721523554104,1558,4.4764987183769955,2031,4.946889777950466,2036,4.52601299176719,2238,5.317324845850536,1550,6.270284642793588,914,6.4004018882446925,2036,2.7301842953279283,2038,3.123704851854793,1273,3.068430834985098,2052,3.0964296591237934,917
inject,946,0.1319162572959477,1199.5205251227057,44.351652406931606,1404,3.783045394211303,32.0,3.3506486971737237,1164,3.5408855353566957,702,3.3600869481439046,44,3.524749734619762,77,3.235236426105618,250,3.478000922619721,1509,3.4365417527258315,418,3.4861974346654847,207,4.4242914219425575,1513,3.9427758932441965,2314,4.136467746217911,1203,5.170445489627323,955,4.046295419992068,1402,3.9402651864962883,302,5.5538546708866425,410,4.533020769296209,417,4.385162152939251,1465,4.635064144757194,301,5.604409668476231,410,5.844585576142015,1543,2.942664458095147,337,3.0539544869730415,1154,3.048534075081478,1630,3.78706596360731,308
inject,426,0.28098067412251715,897.2043380435449,32.485403101867355,626,3.716204894255417,33.0,3.610131957607266,2162,3.9011697084641686,1794,4.522785735163262,1735,4.053243398297237,1980,3.9510631697523686,2072,4.35924218183997,916,4.3577041660054725,348,4.043828917712441,86,4.666637725374363,86,4.325475670600948,1795,4.7075336040614015,1737,5.3778559732006395,1739,4.535801363174762,2073,4.387776875401706,916,4.462676048822464,1736,5.08688899202172,636,4.85672547753008,1852,4.6954036445585485,1797,4.760064716438423,360,6.0295110378017585,915,3.234905577269792,853,3.0997232543198456,648,3.4015352326032042,1589,3.1272813932588206,1734
inject,811,0.26146044757358256,823.8997634552974,32.95956114554706,426,3.2275148989628186,33.0,3.550431857397223,2273,3.508853651589105,21,3.7788868690152038,937,3.5354769656682703,426,3.6102681989927263,980,3.4599670918683207,20,3.2751143022346936,645,3.1402872961519983,426,4.292512182894873,978,4.1787205371848195,24,4.181205067291021,1187,5.017257614210883,427,4.418497695807096,978,3.7390857879566837,21,3.563700800352898,657,4.36402402873263,1875,4.548325414082307,522,4.524321700863898,685,4.15822665137649,1187,6.051997786875805,2271,3.548970373492948,1374,3.539604021411626,296,3.613700907189107,1187,3.5911756657460128,1283
inject,1274,0.2141570771062712,1062.2415816940784,35.22221747191959,337,4.167080522303726,33.0,4.443410570866208,2368,3.73307301041418,93,3.9406291531945925,253,3.606621776666362,354,4.585472191362138,2368,4.299961788189168,1929,4.877031904250904,1522,4.113958125916682,1629,4.443410570866208,2368,3.8422267410866136,93,4.711895212803897,1523,5.188729858592296,1525,4.585472191362138,2368,5.053090646605313,1922,5.918559680773582,1519,5.61638059893553,1526,4.836119898421994,838,5.052218468605706,1921,5.69489850549664,1519,6.393242808034188,1928,3.312371879891642,1128,3.4835250943304907,220,3.678849105494451,2033,3.0769047918222037,2199
inject,704,0.24593253479972155,1711.5162921056824,41.07462592691696,1983,4.010212458612499,32.0,4.026859714849606,1628,4.7714034570236485,523,4.344143587941931,2213,4.152697780580726,163,4.444682057691626,1131,4.31760345513739,523,4.307250254876767,843,4.170526752716473,1433,5.061052278542052,1630,5.881537786010643,1563,5.764239457902216,848,5.653925484447188,1568,5.640225549751857,1133,6.392639138817126,1562,5.224996923691055,850,5.372271566834839,1129,5.920392990914414,1131,6.454624176886369,1568,5.540057234809015,713,7.092132770351861,1996,2.774855418160569,43,2.896233975288377,112,3.240329257428813,635,3.1150586569228973,1435
inject,1284,0.08960217040588414,910.5443454135136,38.803142001752555,1638,1.6029991000174593,32.0,3.362630993371925,511,3.6466894648396635,1235,3.9853921327017248,1645,3.6090021264533156,1052,3.488474248685214,512,3.309751879477044,1234,3.6681102193972612,1242,4.240799012738987,2213,4.078358411299091,2220,4.088856676548965,2000,4.053272809481016,1644,5.424214388991537,2218,3.718574165883927,2218,3.8278949563615594,2278,3.6681102193972612,1242,5.25801935714135,2216,4.237665645177686,302,4.179515286220524,636,4.681723721110662,1644,5.791746261379532,646,3.086576924725188,1856,3.1608496030022573,2000,3.0580254943878247,2174,3.2895844288233214,1349
inject,607,0.11198982608265629,799.1960417788214,42.74306675672118,984,4.7761029667988915,32.0,3.877335590954349,456,4.195604304558551,30,4.359363908266157,449,4.314919440217672,1007,3.4911759965121445,1416,4.575872759227326,477,3.9357130353673893,1503,4.080028075361288,1943,4.83811902521588,1272,4.576573444159791,804,4.392872150169888,1508,6.240496244181484,448,4.660458701395795,1270,4.806753846590738,475,4.670363094343923,1507,5.871437076493607,1943,5.102942929023947,1272,5.2469243024151995,474,5.187677631366471,447,7.285561163989959,447,3.6457468467280063,1242,3.4615102927201074,1955,3.346833192041796,1776,2.990723615358883,795
inject,841,0.22766237440684955,1680.6161240287672,33.59699283582757,401,5.658368416723731,33.0,4.371927714519903,2021,4.472135249909694,2350,4.151638052629544,63,4.866505099472276,399,5.115667107132985,2022,3.9749890354553337,2350,4.0486601018199835,63,4.733099373940784,403,5.278053177137412,212,4.717173902014067,2350,4.2069943360679645,63,5.712263817275884,2018,5.115667107132985,2022,4.398077732737337,2011,4.479554703655003,64,6.265806347647502,403,5.065862582486351,2021,4.99821624078391,49,4.841882140594555,63,6.882783235232029,2020,3.4456128080005115,2021,3.1319443752537452,1010,3.3599112364266546,298,4.043104719416304,1775
inject,622,0.04230766645780504,1776.2619378260129,44.61710127064479,2117,3.4861583479381553,32.0,3.769599207314288,448,4.711898321620796,757,3.5086565539926884,1506,4.338702496414723,2190,4.157725619846499,450,3.4913246048679976,755,3.50599506110273,2061,4.562709568380077,963,4.814442151093959,447,5.067018826008425,757,3.8635951427276587,1578,6.099939751753031,727,4.681733623705058,446,4.426237150000031,757,4.0996795152769785,956,5.342009836733214,965,5.150856789654977,445,4.951255168707585,757,5.234140049684117,556,6.552201269132699,758,3.4922261042438683,447,2.842812700545681,2220,3.52660171232403,2059,3.898865936843098,27
inject,401,0.08233580192956935,887.9319856277317,36.415175508438665,804,5.133398664227713,32.0,3.865487019737411,2365,4.1162020274311155,1464,3.597663837442715,2182,3.8571669104153146,2366,4.374003452369021,167,4.377902610299194,1423,3.9940294898151203,1874,4.350753053037423,1874,4.332653788633527,165,4.5966678253786375,370,4.509531434934046,394,5.3881858341945055,1873,4.374003452369021,167,4.630421524329026,1421,4.263444666312291,393,4.758887154131537,808,4.650148888160667,163,5.214812834424656,2213,4.678445433862463,394,6.016314392352754,1874,3.583245286847869,167,3.6953543028656473,1422,3.508894748121209,1874,3.3974820359705187,741
inject,704,0.05364198320358138,1444.973442064092,41.97814758357943,420,4.010212458612499,32.0,3.6541383832664347,1246,3.5788273099186756,758,5.383535791313744,303,3.627818363630762,1043,3.9543550652054913,620,4.452622229347012,797,4.836137733270004,304,3.933864383964275,1164,5.589508631273153,388,6.420555154487103,604,6.5716921238220225,1833,5.948792547086571,393,5.286664170091825,388,5.98142020125338,602,5.723557306978868,1660,5.394307445014752,1041,5.6729775573154715,386,6.003291384290421,604,5.905067690131415,1661,7.594861094370938,1654,3.038790620495323,978,2.656833687511107,892,3.3247490270034095,867,3.75134241443242,1041
background,748,,,,-1,4.533470941825364,,3.5754133077221724,2304,4.676001599697862,1806,4.60960041794195,122,4.687240312515006,1809,3.9368702356078638,149,4.697103883122006,1803,4.828137088957571,783,4.17662666025855,1955,4.3418375204020565,2251,5.546948453049696,1807,5.327954369811796,180,6.838851696799332,1953,4.736515693822001,150,5.985661677039807,1807,6.058359964782706,787,6.513937294864296,1953,4.886742418704879,2090,5.868909228539166,1808,6.090912497398756,787,7.389192744886311,1953,3.4032547800280972,150,3.8012566415484375,884,3.7064307003258747,1953,4.231218141564888,1953
background,1037,,,,-1,4.115836645419151,,3.626529393360187,1163,4.23322701854244,2260,4.140517614267903,1321,4.136589849962886,1097,4.643509134172755,1906,3.516116755084754,630,4.685122684862791,1783,3.9244668142792762,1783,4.246263122674911,490,4.514072905704236,2259,4.690513484344294,62,5.14953824420609,1512,4.643509134172755,1906,4.316380564453075,1722,4.858741192089984,1781,5.753412636817455,1902,5.21932350617559,1910,4.381443535084112,707,5.4141747426208555,1779,6.545088254265688,2012,3.8107291448723846,1512,3.886885395332817,1722,3.7648755933951383,2131,3.670968386230518,911
background,1024,,,,-1,1.494858504348209,,3.3249434615917743,1381,3.9240973530243686,1012,3.92780039556374,20,3.766872413156497,1012,3.836505170495412,771,3.9236537155336437,327,3.7504732157456626,1495,3.85874438497424,1054,4.279246976786919,771,4.00435287614599,830,4.198038718859075,2222,4.583865332558908,23,4.340542794302969,1382,4.627086533070525,829,4.133183070141134,1979,4.770107466520894,1056,4.889597590178186,1352,4.822738597349237,830,4.231924237551514,2223,6.156565749672147,467,3.155376452267836,1381,3.2344485888841037,2118,3.01890602511783,20,3.078416845134304,2118
background,146,,,,-1,4.358197440951261,,4.561106226143378,456,4.14521573356351,804,5.426587939628375,1687,5.278540171988805,454,4.468786499023366,454,4.875074548019521,803,4.929114962362063,1686,5.26286898230389,453,5.111846992515765,1247,4.708492180674618,805,6.716871052051092,1689,6.60033054291589,1251,5.469201708800427,458,5.644931251610726,807,5.321563903687587,1691,5.4914987892474265,454,5.442896044400796,457,5.3140303228312336,806,5.485613355989762,1688,7.1005037221085505,728,3.171435892581142,2159,3.2797883641496153,1094,3.360811396457073,221,3.84916127469803,1094
background,841,,,,-1,5.658368416723731,,4.82753688803638,1408,3.7583839178646636,1037,4.570721517319096,2103,4.555886177244486,1409,4.789696263929811,1869,3.601222407062582,2219,4.049122918060273,2155,4.58495347422519,1409,5.122034168692025,1408,4.061688616716371,1231,4.750623772238132,2103,5.614710452375946,1409,4.789696263929811,1869,4.109455506899741,2219,4.049122918060273,2155,5.182703974501204,190,5.185640895172255,1409,4.562277431288957,1947,4.366001934895994,697,6.912398936889272,1210,3.2776978533819086,2308,3.1965788939700155,946,3.0590366976721826,2157,3.3301701637129613,1260
background,307,,,,-1,4.500173710438819,,4.0439013458991,604,4.565026986032246,1003,4.590592359286106,192,5.136513597604745,2377,4.170702609093146,606,4.448874449043953,1502,5.317131079020197,192,6.000566587243296,1113,5.779467508954783,2155,4.893743533976122,2288,5.682607969559551,2203,6.535879820951605,2203,4.724195986215927,606,4.971296062220824,1951,5.571778149967774,193,6.629654499277954,1114,4.829453894501349,1524,5.173271304035316,1951,5.5402999132799655,187,7.31487360247384,1864,3.6010095017744166,1412,3.573646629000173,337,3.545327662660461,1866,3.478407974198546,1352
background,1005,,,,-1,4.297740658981215,,5.113856119952323,1292,5.416884384068601,2390,4.158109257057644,1721,4.328367808133758,1291,4.348045149452233,1931,4.686878666161195,968,3.9677423654381005,1721,4.05940849233781,1506,5.113856119952323,1292,5.514455418894017,2390,4.372636355364312,1721,5.914607994291615,1506,4.933013989973477,2158,5.282746988118747,2389,4.295254493850644,1722,5.02897820710131,1506,5.034686320126712,2149,5.421167370215258,1586,4.280162439498476,163,6.674295312781471,968,3.76253330793065,1348,3.8099464878055422,1506,3.80886104861289,12,4.275424793582555,1506
background,1245,,,,-1,4.359769032998113,,4.107012195204896,942,4.040286785382804,2391,3.587104514471255,948,4.2480742303294825,944,4.157116405678404,1812,4.724806833931367,1682,4.446158617350113,192,3.81652103777164,27,4.341170899585079,1067,5.1524811987669255,1681,4.421293940017291,192,5.396125197519319,943,4.157116405678404,1812,4.846430359203785,1682,4.446158617350113,192,4.850180605255499,28,5.044697532641092,203,5.473943449180736,1682,4.928709359522961,192,6.598886462724809,193,3.3382108004018214,363,3.1729530407520965,616,3.281132730696872,769,3.963469410975418,2207
