kind,ref_idx,depth,objectRad,dist,center_frame,RickerDetector|Green|peak,RickerDetector|Green|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|Green|peak,BoxDetector|Green|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|Green|peak,MultiWidthRickerDetector|Green|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,FresnelMatchedFilterDetector|Green|peak,FresnelMatchedFilterDetector|Green|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|Green|peak,NormalizedSNRDetector|Green|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
inject,1088,0.09957447898380012,758.6374133985796,30.614602859042922,1459,4.191775038850145,436,4.191775038850145,436,3.414166728320505,436,3.414166728320505,436,4.191775038850145,436,4.191775038850145,436,5.660749562821056,437,5.660749562821056,437,1.8351701723884009,435,1.8351701723884009,435
inject,668,0.13606927576408223,1540.1441536727973,38.15437487198135,1402,3.1691780099221303,107,3.1691780099221303,107,2.887320979852438,1852,2.887320979852438,1852,3.9778591876679172,220,3.9778591876679172,220,4.051834259654963,371,4.051834259654963,371,1.0885029895376555,220,1.0885029895376555,220
inject,530,0.011876544690180624,357.09547801928943,40.94483169644916,1878,3.7392407822788485,149,3.7392407822788485,149,3.52251326196269,1221,3.52251326196269,1221,3.919348246658994,149,3.919348246658994,149,5.470509785702378,139,5.470509785702378,139,14.013730420479149,541,14.013730420479149,541
inject,116,0.2825409514708893,1018.5682760360194,30.424795067181943,819,3.1832047309516898,1386,3.1832047309516898,1386,3.449309066729877,976,3.449309066729877,976,3.312309063416233,1386,3.312309063416233,1386,3.968018436939455,590,3.968018436939455,590,0.9509633972641466,2130,0.9509633972641466,2130
inject,359,0.10198777136371895,952.2518422452018,44.958149036838165,1418,3.7822909930349016,2124,3.7822909930349016,2124,4.5062683859992045,2124,4.5062683859992045,2124,3.7822909930349016,2124,3.7822909930349016,2124,5.1176582453033905,2110,5.1176582453033905,2110,0.9572055034731425,1616,0.9572055034731425,1616
inject,1071,0.19329570671662344,961.1664207644765,32.02644757533617,1557,3.15022791165289,1849,3.15022791165289,1849,3.956205597312381,992,3.956205597312381,992,3.907499359016561,379,3.907499359016561,379,4.479048555943578,336,4.479048555943578,336,21.300765386145343,968,21.300765386145343,968
inject,565,0.39504075822363804,1812.1293183933005,44.01065273934375,1172,3.6569418676778005,700,3.6569418676778005,700,3.825587056547199,1150,3.825587056547199,1150,3.9593905686252726,1153,3.9593905686252726,1153,5.839846558072737,702,5.839846558072737,702,2.8693797783349946,697,2.8693797783349946,697
inject,918,0.1891692357659781,874.4490833621265,35.87428500792242,1378,3.040574935143653,1577,3.040574935143653,1577,3.1163840066774524,1856,3.1163840066774524,1856,4.15429138994232,1600,4.15429138994232,1600,5.140043061202592,1581,5.140043061202592,1581,2.162639550385832,1080,2.162639550385832,1080
inject,69,0.21338958322944124,1715.4950510107763,41.80647461233025,409,2.95072513551191,2191,2.95072513551191,2191,3.2209617925230227,457,3.2209617925230227,457,4.076830964760981,664,4.076830964760981,664,4.0222246873590555,2192,4.0222246873590555,2192,1.7361041359136256,1214,1.7361041359136256,1214
inject,863,0.22314272251889444,555.4750937212264,36.7550904997393,888,3.3762293301385684,1594,3.3762293301385684,1594,3.5934681324179567,1593,3.5934681324179567,1593,3.5048888724809526,2161,3.5048888724809526,2161,5.1173692636617805,1941,5.1173692636617805,1941,0.7184819965684082,1593,0.7184819965684082,1593
